policy_id,customer_id,policy_type,premium_amount,sum_assured,start_date,end_date,status
POL0000313,CUST000877,Accident Insurance,6770,7995492,2023-12-17,2024-12-16,Active
POL0000314,CUST000053,Life Insurance,51615,6303480,2019-12-27,2022-12-26,Expired
POL0000315,CUST000365,Accident Insurance,15179,8502217,2025-05-27,2026-05-27,Active
POL0000316,CUST000178,Accident Insurance,96206,5043060,2020-06-20,2022-06-20,Active
POL0000317,CUST000506,Accident Insurance,63952,5161508,2022-07-18,2027-07-17,Active
POL0000318,CUST000995,Vehicle Insurance,118994,4341461,2025-08-28,2026-08-28,Active
POL0000319,CUST000879,Health Insurance,118192,3495295,2021-12-16,2026-12-15,Active
POL0000320,CUST000564,Life Insurance,26522,336163,2021-11-20,2023-11-20,Active
POL0000321,CUST000858,Health Insurance,35900,8733637,2018-03-31,2020-03-30,Active
POL0000322,CUST000252,Accident Insurance,92648,3250977,2026-04-12,2028-04-11,Active
POL0000323,CUST000809,Health Insurance,60955,4944724,2023-04-11,2024-04-10,Active
POL0000324,CUST000864,Life Insurance,94799,6823036,2023-11-08,2024-11-07,Active
POL0000325,CUST000993,Health Insurance,69249,4559592,2019-10-30,2021-10-29,Active
POL0000326,CUST000006,Health Insurance,60469,1301392,2024-04-15,2025-04-15,Lapsed
POL0000327,CUST000049,Life Insurance,35926,8685367,2018-05-22,2020-05-21,Expired
POL0000328,CUST000482,Accident Insurance,17912,8731067,2021-02-22,2023-02-22,Active
POL0000329,CUST000871,Travel Insurance,109787,2246912,2018-03-16,2023-03-15,Active
POL0000330,CUST000911,Vehicle Insurance,76348,1275685,2020-10-29,2021-10-29,Active
POL0000331,CUST000104,Vehicle Insurance,104210,8727296,2019-12-13,2020-12-12,Active
POL0000332,CUST000602,Vehicle Insurance,19451,5166447,2024-06-30,2025-06-30,Active
POL0000333,CUST000162,Accident Insurance,92927,3146581,2025-12-04,2026-12-04,Active
POL0000334,CUST000145,Vehicle Insurance,113844,450142,2021-03-18,2023-03-18,Active
POL0000335,CUST000571,Vehicle Insurance,119291,7062120,2020-09-02,2023-09-02,Expired
POL0000336,CUST000070,Accident Insurance,77641,5644808,2019-10-07,2024-10-05,Active
POL0000337,CUST000356,Accident Insurance,17962,1898916,2020-07-18,2023-07-18,Active
POL0000338,CUST000056,Travel Insurance,4537,511878,2024-04-06,2025-04-06,Active
POL0000339,CUST000314,Travel Insurance,40335,3225241,2022-12-07,2025-12-06,Active
POL0000340,CUST000661,Vehicle Insurance,10394,6086041,2018-01-28,2020-01-28,Lapsed
POL0000341,CUST000451,Accident Insurance,97016,610021,2020-09-12,2023-09-12,Active
POL0000342,CUST000686,Travel Insurance,20952,1997239,2019-12-26,2020-12-25,Active
POL0000343,CUST000753,Vehicle Insurance,78684,603776,2025-10-29,2030-10-28,Active
POL0000344,CUST000206,Vehicle Insurance,26554,3707164,2018-04-30,2020-04-29,Active
POL0000345,CUST000072,Travel Insurance,38837,8879407,2018-03-08,2020-03-07,Lapsed
POL0000346,CUST000735,Vehicle Insurance,68834,6146103,2019-03-01,2020-02-29,Active
POL0000347,CUST001000,Vehicle Insurance,53779,6831156,2018-08-21,2023-08-20,Active
POL0000348,CUST000095,Accident Insurance,13701,2640458,2023-12-06,2024-12-05,Active
POL0000349,CUST000911,Life Insurance,109071,4502994,2020-01-06,2022-01-05,Active
POL0000350,CUST000259,Health Insurance,119216,5135456,2021-11-29,2023-11-29,Active
POL0000351,CUST000117,Accident Insurance,108289,6771611,2024-12-09,2025-12-09,Active
POL0000352,CUST000358,Health Insurance,35219,2183407,2023-01-05,2026-01-04,Active
POL0000353,CUST000034,Life Insurance,54334,2126474,2022-10-12,2023-10-12,Active
POL0000354,CUST000860,Travel Insurance,15475,1151901,2023-10-27,2024-10-26,Expired
POL0000355,CUST000528,Life Insurance,6038,8085114,2021-01-22,2026-01-21,Active
POL0000356,CUST000371,Health Insurance,98077,272761,2021-06-05,2023-06-05,Active
POL0000357,CUST000746,Health Insurance,107934,3071920,2022-12-20,2025-12-19,Lapsed
POL0000358,CUST000350,Travel Insurance,16857,7893814,2020-06-29,2021-06-29,Expired
POL0000359,CUST000357,Life Insurance,43011,8788485,2020-05-14,2025-05-13,Cancelled
POL0000360,CUST000512,Travel Insurance,6432,6448878,2021-03-13,2023-03-13,Active
POL0000361,CUST000103,Accident Insurance,54698,5386099,2026-04-03,2027-04-03,Active
POL0000362,CUST000767,Health Insurance,88067,9921654,2018-12-18,2021-12-17,Active
POL0000363,CUST000154,Accident Insurance,115107,4028857,2022-08-15,2025-08-14,Expired
POL0000364,CUST000095,Life Insurance,66618,5145219,2022-06-08,2027-06-07,Active
POL0000365,CUST000282,Vehicle Insurance,56959,4987712,2024-11-19,2026-11-19,Expired
POL0000366,CUST000067,Health Insurance,30468,4248299,2019-07-29,2020-07-28,Active
POL0000367,CUST000942,Life Insurance,14611,7824934,2022-11-06,2024-11-05,Active
POL0000368,CUST000887,Accident Insurance,16428,3706268,2023-12-14,2024-12-13,Active
POL0000369,CUST000343,Accident Insurance,80340,8379249,2018-10-26,2023-10-25,Active
POL0000370,CUST000470,Life Insurance,71938,8743178,2020-10-28,2022-10-28,Active
POL0000371,CUST000303,Travel Insurance,71354,7343476,2020-06-17,2021-06-17,Active
POL0000372,CUST000437,Health Insurance,53585,9422569,2022-03-26,2023-03-26,Lapsed
POL0000373,CUST000859,Health Insurance,66658,7182091,2019-03-09,2020-03-08,Expired
POL0000374,CUST000242,Accident Insurance,28432,3397833,2019-04-26,2024-04-24,Active
POL0000375,CUST000958,Life Insurance,28496,8365904,2026-03-02,2029-03-01,Active
POL0000376,CUST000259,Accident Insurance,46124,9753550,2023-01-21,2028-01-20,Active
POL0000377,CUST000288,Vehicle Insurance,26436,2011860,2024-03-17,2027-03-17,Active
POL0000378,CUST000109,Health Insurance,19398,6980156,2019-06-09,2021-06-08,Active
POL0000379,CUST000866,Health Insurance,22926,1088707,2023-08-01,2028-07-30,Active
POL0000380,CUST000319,Life Insurance,58322,5177318,2018-09-17,2020-09-16,Lapsed
POL0000381,CUST000169,Accident Insurance,12948,8327333,2018-05-15,2023-05-14,Active
POL0000382,CUST000023,Life Insurance,36132,134319,2022-11-16,2024-11-15,Active
POL0000383,CUST000422,Accident Insurance,35185,9097856,2020-07-16,2023-07-16,Active
POL0000384,CUST000252,Vehicle Insurance,16388,9454046,2020-02-10,2022-02-09,Expired
POL0000385,CUST000380,Health Insurance,48677,8067227,2018-03-13,2021-03-12,Lapsed
POL0000386,CUST000314,Travel Insurance,33631,2009785,2018-01-14,2019-01-14,Cancelled
POL0000387,CUST000932,Health Insurance,7623,4673900,2018-05-06,2023-05-05,Expired
POL0000388,CUST000102,Travel Insurance,82214,2310950,2025-12-23,2028-12-22,Active
POL0000389,CUST000621,Vehicle Insurance,41481,343306,2024-10-23,2026-10-23,Active
POL0000390,CUST000649,Life Insurance,25807,2366522,2023-04-25,2026-04-24,Expired
POL0000391,CUST000277,Vehicle Insurance,6341,4236332,2026-01-22,2031-01-21,Active
POL0000392,CUST000137,Travel Insurance,40189,3813765,2021-10-03,2022-10-03,Active
POL0000393,CUST000299,Health Insurance,39001,5942063,2023-04-05,2028-04-03,Cancelled
POL0000394,CUST000478,Vehicle Insurance,20052,2051584,2020-04-07,2025-04-06,Active
POL0000395,CUST000369,Vehicle Insurance,89621,7159826,2018-08-31,2019-08-31,Cancelled
POL0000396,CUST000603,Travel Insurance,20346,5314386,2022-09-16,2027-09-15,Active
POL0000397,CUST000973,Health Insurance,83156,4229916,2018-01-06,2023-01-05,Active
POL0000398,CUST000389,Vehicle Insurance,55962,5251656,2025-11-24,2028-11-23,Expired
POL0000399,CUST000826,Health Insurance,117857,4202449,2019-06-06,2020-06-05,Lapsed
POL0000400,CUST000604,Life Insurance,106063,9217190,2024-08-22,2029-08-21,Expired
POL0000401,CUST000528,Health Insurance,41531,5018643,2023-02-20,2024-02-20,Active
POL0000402,CUST000925,Life Insurance,18630,6615601,2020-04-30,2025-04-29,Lapsed
POL0000403,CUST000629,Life Insurance,27763,2251766,2021-09-16,2024-09-15,Lapsed
POL0000404,CUST000885,Life Insurance,82170,3672847,2022-12-19,2024-12-18,Active
POL0000405,CUST000077,Travel Insurance,82895,9945640,2019-01-24,2022-01-23,Active
POL0000406,CUST000704,Vehicle Insurance,91331,4423037,2021-10-12,2024-10-11,Active
POL0000407,CUST000287,Life Insurance,113230,8463563,2019-04-18,2020-04-17,Active
POL0000408,CUST000696,Health Insurance,17699,3166526,2018-03-20,2019-03-20,Lapsed
POL0000409,CUST000057,Vehicle Insurance,37017,4150200,2023-05-05,2025-05-04,Active
POL0000410,CUST000655,Life Insurance,14741,5622426,2025-03-03,2027-03-03,Expired
POL0000411,CUST000874,Accident Insurance,32715,9459104,2022-04-13,2027-04-12,Lapsed
POL0000412,CUST000894,Accident Insurance,102519,1419953,2021-07-08,2022-07-08,Active
POL0000413,CUST000751,Life Insurance,59271,3405558,2018-12-19,2023-12-18,Active
POL0000414,CUST000916,Travel Insurance,32511,4836854,2022-12-24,2027-12-23,Active
POL0000415,CUST000674,Vehicle Insurance,55792,8266676,2019-12-01,2020-11-30,Active
POL0000416,CUST000356,Vehicle Insurance,9013,9030937,2020-11-10,2023-11-10,Active
POL0000417,CUST000363,Accident Insurance,24954,6897178,2023-02-02,2028-02-01,Active
POL0000418,CUST000331,Travel Insurance,20115,4783665,2020-08-04,2021-08-04,Active
POL0000419,CUST000942,Vehicle Insurance,55855,745384,2022-12-08,2024-12-07,Active
POL0000420,CUST000828,Health Insurance,74894,8696957,2021-12-20,2026-12-19,Active
POL0000421,CUST000887,Health Insurance,75363,7060119,2021-10-30,2026-10-29,Active
POL0000422,CUST000266,Accident Insurance,25219,7564030,2022-01-05,2025-01-04,Lapsed
POL0000423,CUST000067,Health Insurance,66538,7941297,2019-10-20,2022-10-19,Active
POL0000424,CUST000227,Life Insurance,13616,6882371,2024-12-24,2025-12-24,Active
POL0000425,CUST000817,Health Insurance,105790,5676781,2019-06-28,2022-06-27,Active
POL0000426,CUST000224,Vehicle Insurance,86371,7886339,2022-01-26,2025-01-25,Active
POL0000427,CUST000652,Health Insurance,112825,4952638,2021-05-10,2024-05-09,Active
POL0000428,CUST000329,Health Insurance,103763,2344012,2024-01-30,2029-01-28,Active
POL0000429,CUST000325,Accident Insurance,60249,939847,2020-12-06,2021-12-06,Active
POL0000430,CUST000586,Life Insurance,44023,9105495,2019-10-30,2022-10-29,Cancelled
POL0000431,CUST000567,Health Insurance,27859,9195326,2018-03-13,2023-03-12,Expired
POL0000432,CUST000302,Life Insurance,29519,3154173,2024-02-05,2026-02-04,Lapsed
POL0000433,CUST000425,Travel Insurance,50313,7088452,2018-06-11,2020-06-10,Lapsed
POL0000434,CUST000730,Health Insurance,50811,1773839,2024-04-20,2025-04-20,Active
POL0000435,CUST000025,Life Insurance,64059,8251744,2022-07-04,2024-07-03,Active
POL0000436,CUST000915,Travel Insurance,7030,2110660,2018-02-13,2021-02-12,Active
POL0000437,CUST000498,Travel Insurance,108712,9706258,2018-01-08,2019-01-08,Active
POL0000438,CUST000073,Life Insurance,74490,5439008,2024-09-08,2026-09-08,Active
POL0000439,CUST000759,Life Insurance,15063,6317763,2018-06-22,2023-06-21,Expired
POL0000440,CUST000034,Vehicle Insurance,96546,7730870,2020-01-06,2022-01-05,Active
POL0000441,CUST000011,Accident Insurance,65713,2608443,2018-12-12,2023-12-11,Active
POL0000442,CUST000915,Health Insurance,75493,9185745,2025-04-21,2030-04-20,Expired
POL0000443,CUST000482,Life Insurance,115312,9869792,2020-08-18,2023-08-18,Active
POL0000444,CUST000482,Health Insurance,67065,9683858,2021-01-13,2026-01-12,Active
POL0000445,CUST000577,Health Insurance,106677,8046674,2019-07-03,2020-07-02,Active
POL0000446,CUST000191,Health Insurance,80401,5167092,2020-02-12,2022-02-11,Active
POL0000447,CUST000249,Accident Insurance,28673,8668506,2026-02-26,2027-02-26,Active
POL0000448,CUST000074,Accident Insurance,4584,1087223,2020-10-31,2022-10-31,Active
POL0000449,CUST000967,Travel Insurance,43709,7478148,2025-09-26,2026-09-26,Active
POL0000450,CUST000387,Vehicle Insurance,49803,3735469,2018-03-09,2021-03-08,Lapsed
POL0000451,CUST000247,Vehicle Insurance,29917,2910400,2018-02-24,2020-02-24,Active
POL0000452,CUST000808,Accident Insurance,14214,7886352,2024-07-20,2027-07-20,Active
POL0000453,CUST000612,Vehicle Insurance,50233,4181249,2023-05-22,2026-05-21,Active
POL0000454,CUST000232,Accident Insurance,72228,8443993,2020-09-22,2021-09-22,Expired
POL0000455,CUST000645,Life Insurance,40945,2109827,2023-04-16,2025-04-15,Active
POL0000456,CUST000825,Vehicle Insurance,20214,5115895,2021-02-02,2022-02-02,Active
POL0000457,CUST000503,Life Insurance,61872,8072148,2021-03-17,2023-03-17,Active
POL0000458,CUST000548,Life Insurance,51874,6244242,2025-10-31,2030-10-30,Active
POL0000459,CUST000631,Accident Insurance,31622,8948234,2021-05-04,2023-05-04,Active
POL0000460,CUST000662,Life Insurance,75627,6986381,2024-08-12,2025-08-12,Active
POL0000461,CUST000902,Life Insurance,56916,4976246,2025-12-29,2028-12-28,Active
POL0000462,CUST000029,Vehicle Insurance,77308,311914,2023-09-19,2025-09-18,Lapsed
POL0000463,CUST000870,Life Insurance,23562,1304048,2023-06-14,2026-06-13,Active
POL0000464,CUST000618,Accident Insurance,20608,2326689,2018-06-20,2020-06-19,Lapsed
POL0000465,CUST000316,Vehicle Insurance,4458,867071,2022-06-17,2024-06-16,Expired
POL0000466,CUST000057,Life Insurance,80276,5198062,2025-07-12,2030-07-11,Expired
POL0000467,CUST000928,Health Insurance,44696,2226447,2022-09-23,2024-09-22,Cancelled
POL0000468,CUST000567,Accident Insurance,116744,9209332,2018-01-11,2021-01-10,Active
POL0000469,CUST000506,Health Insurance,66149,7918704,2020-03-30,2023-03-30,Active
POL0000470,CUST000174,Travel Insurance,53445,7984356,2023-05-24,2024-05-23,Active
POL0000471,CUST000305,Accident Insurance,37420,8845285,2019-11-18,2024-11-16,Active
POL0000472,CUST000263,Life Insurance,31956,4911357,2024-03-15,2029-03-14,Expired
POL0000473,CUST000558,Health Insurance,39146,1799999,2020-12-13,2022-12-13,Active
POL0000474,CUST000675,Health Insurance,42485,6154598,2020-04-30,2021-04-30,Active
POL0000475,CUST000532,Vehicle Insurance,86300,7521118,2024-03-20,2025-03-20,Expired
POL0000476,CUST000745,Health Insurance,62418,7765503,2025-01-12,2027-01-12,Active
POL0000477,CUST000494,Travel Insurance,63053,3020295,2020-12-24,2025-12-23,Active
POL0000478,CUST000909,Life Insurance,119601,7615605,2021-11-17,2022-11-17,Expired
POL0000479,CUST000095,Life Insurance,87209,5383719,2025-07-17,2028-07-16,Active
POL0000480,CUST000443,Health Insurance,108680,4433516,2024-12-18,2025-12-18,Active
POL0000481,CUST000408,Vehicle Insurance,99370,7310951,2026-01-21,2027-01-21,Active
POL0000482,CUST000845,Health Insurance,13029,8540577,2019-12-23,2020-12-22,Active
POL0000483,CUST000680,Travel Insurance,31203,2567289,2022-11-17,2025-11-16,Active
POL0000484,CUST000151,Accident Insurance,100642,2078264,2023-06-17,2028-06-15,Active
POL0000485,CUST000393,Travel Insurance,114627,5439129,2020-08-15,2022-08-15,Active
POL0000486,CUST000643,Accident Insurance,109163,3885253,2019-11-08,2024-11-06,Active
POL0000487,CUST000258,Life Insurance,84205,4161177,2023-02-17,2025-02-16,Lapsed
POL0000488,CUST000423,Travel Insurance,11101,9548973,2021-12-13,2023-12-13,Active
POL0000489,CUST000064,Travel Insurance,51464,2707314,2024-01-04,2029-01-02,Active
POL0000490,CUST000316,Life Insurance,9722,1178540,2022-02-23,2027-02-22,Active
POL0000491,CUST000161,Travel Insurance,47376,2015401,2022-04-26,2025-04-25,Active
POL0000492,CUST000513,Life Insurance,112473,2808519,2024-06-15,2027-06-15,Expired
POL0000493,CUST000293,Life Insurance,108676,5467868,2024-03-24,2027-03-24,Active
POL0000494,CUST000288,Life Insurance,22501,283743,2019-12-07,2024-12-05,Active
POL0000495,CUST000840,Health Insurance,11354,9733917,2022-10-29,2023-10-29,Active
POL0000496,CUST000112,Vehicle Insurance,65931,3783098,2020-06-18,2023-06-18,Cancelled
POL0000497,CUST000387,Vehicle Insurance,3280,9211927,2018-06-04,2023-06-03,Active
POL0000498,CUST000238,Accident Insurance,68303,127841,2022-09-25,2025-09-24,Active
POL0000499,CUST000262,Travel Insurance,20004,8714519,2021-07-13,2026-07-12,Active
POL0000500,CUST000028,Life Insurance,74648,6953278,2018-02-22,2021-02-21,Lapsed
POL0000501,CUST000358,Life Insurance,107961,2686066,2020-10-13,2021-10-13,Active
POL0000502,CUST000570,Vehicle Insurance,34447,6682563,2024-02-06,2029-02-04,Lapsed
POL0000503,CUST000177,Travel Insurance,109597,6688743,2024-07-31,2029-07-30,Lapsed
POL0000504,CUST000720,Accident Insurance,18717,2643348,2023-10-04,2026-10-03,Lapsed
POL0000505,CUST000752,Health Insurance,27495,9788636,2022-09-16,2023-09-16,Active
POL0000506,CUST000213,Life Insurance,22991,1887784,2024-10-06,2029-10-05,Active
POL0000507,CUST000393,Health Insurance,74546,2024443,2025-09-08,2028-09-07,Active
POL0000508,CUST000113,Travel Insurance,34480,8591694,2020-12-13,2023-12-13,Active
POL0000509,CUST000224,Travel Insurance,83053,3730246,2020-07-13,2022-07-13,Active
POL0000510,CUST000225,Life Insurance,41320,730729,2018-10-26,2021-10-25,Active
POL0000511,CUST000585,Accident Insurance,95769,1281948,2023-10-18,2026-10-17,Active
POL0000512,CUST000294,Vehicle Insurance,114492,429533,2021-03-28,2024-03-27,Lapsed
POL0000513,CUST000855,Vehicle Insurance,60925,7445945,2025-08-18,2030-08-17,Active
POL0000514,CUST000137,Life Insurance,12370,2199366,2019-08-07,2020-08-06,Active
POL0000515,CUST000001,Accident Insurance,41057,5181088,2025-07-22,2027-07-22,Active
POL0000516,CUST000441,Travel Insurance,58816,7539147,2018-12-02,2019-12-02,Active
POL0000517,CUST000711,Vehicle Insurance,53702,6227837,2024-02-15,2025-02-14,Active
POL0000518,CUST000729,Health Insurance,60431,4551579,2026-01-20,2027-01-20,Active
POL0000519,CUST000514,Accident Insurance,83297,5524435,2019-10-21,2022-10-20,Active
POL0000520,CUST000748,Health Insurance,113543,3211310,2025-04-22,2030-04-21,Active
POL0000521,CUST000278,Travel Insurance,112697,1720845,2020-06-09,2022-06-09,Active
POL0000522,CUST000735,Travel Insurance,29421,4940845,2024-06-19,2026-06-19,Expired
POL0000523,CUST000274,Travel Insurance,17246,8797725,2021-09-27,2026-09-26,Expired
POL0000524,CUST000025,Accident Insurance,92818,492201,2022-11-27,2023-11-27,Active
POL0000525,CUST000884,Accident Insurance,66152,1018185,2023-09-13,2028-09-11,Lapsed
POL0000526,CUST000670,Health Insurance,13136,5369723,2022-07-14,2027-07-13,Active
POL0000527,CUST000037,Travel Insurance,93449,1438674,2024-12-15,2025-12-15,Active
POL0000528,CUST000841,Travel Insurance,76539,224724,2021-05-25,2024-05-24,Active
POL0000529,CUST000462,Travel Insurance,67462,6163188,2021-04-25,2022-04-25,Expired
POL0000530,CUST000537,Travel Insurance,41319,724883,2023-05-02,2025-05-01,Expired
POL0000531,CUST000341,Vehicle Insurance,70919,3862069,2024-06-15,2025-06-15,Expired
POL0000532,CUST000225,Health Insurance,36014,7988446,2026-01-02,2028-01-02,Active
POL0000533,CUST000419,Health Insurance,91219,8401208,2024-04-12,2026-04-12,Active
POL0000534,CUST000347,Travel Insurance,114547,8007995,2025-08-29,2030-08-28,Active
POL0000535,CUST000471,Life Insurance,21684,9029200,2024-10-13,2026-10-13,Active
POL0000536,CUST000922,Accident Insurance,19124,3275457,2019-09-01,2022-08-31,Active
POL0000537,CUST000296,Life Insurance,9679,7555302,2021-05-22,2022-05-22,Active
POL0000538,CUST000011,Travel Insurance,64736,785613,2021-07-17,2022-07-17,Active
POL0000539,CUST000007,Travel Insurance,73654,5801309,2018-11-08,2020-11-07,Lapsed
POL0000540,CUST000548,Accident Insurance,25596,2459078,2023-07-22,2028-07-20,Expired
POL0000541,CUST000492,Life Insurance,33658,920880,2018-12-19,2020-12-18,Active
POL0000542,CUST000745,Health Insurance,38395,9256601,2025-01-08,2027-01-08,Active
POL0000543,CUST000450,Vehicle Insurance,69347,8216359,2022-12-20,2027-12-19,Active
POL0000544,CUST000651,Health Insurance,3277,4741145,2018-09-16,2020-09-15,Active
POL0000545,CUST000842,Accident Insurance,52847,7417595,2025-05-30,2030-05-29,Active
POL0000546,CUST000685,Health Insurance,78759,5946437,2024-11-13,2026-11-13,Expired
POL0000547,CUST000040,Accident Insurance,29816,905690,2022-07-31,2024-07-30,Expired
POL0000548,CUST000082,Travel Insurance,116694,2482507,2021-12-22,2022-12-22,Active
POL0000549,CUST000548,Health Insurance,66703,9396585,2020-10-17,2021-10-17,Active
POL0000550,CUST000153,Health Insurance,6867,6711126,2018-12-25,2021-12-24,Active
POL0000551,CUST000289,Accident Insurance,110178,5360372,2024-05-14,2026-05-14,Active
POL0000552,CUST000079,Life Insurance,70137,1017376,2021-07-25,2024-07-24,Lapsed
POL0000553,CUST000887,Accident Insurance,85211,6388453,2025-03-13,2027-03-13,Active
POL0000554,CUST000434,Travel Insurance,37510,681570,2019-08-03,2021-08-02,Active
POL0000555,CUST000430,Travel Insurance,94146,8520538,2021-05-25,2022-05-25,Active
POL0000556,CUST000896,Travel Insurance,70225,825643,2018-03-26,2023-03-25,Cancelled
POL0000557,CUST000290,Health Insurance,74573,863754,2019-12-15,2022-12-14,Active
POL0000558,CUST000717,Travel Insurance,97932,7815264,2022-06-21,2023-06-21,Active
POL0000559,CUST000919,Life Insurance,58197,355415,2018-08-07,2019-08-07,Expired
POL0000560,CUST000546,Accident Insurance,101330,6940997,2021-08-05,2024-08-04,Active
POL0000561,CUST000191,Travel Insurance,77003,2906393,2025-05-27,2030-05-26,Active
POL0000562,CUST000012,Accident Insurance,67914,1793642,2021-03-08,2023-03-08,Active
POL0000563,CUST000172,Travel Insurance,115341,4074285,2020-09-08,2023-09-08,Active
POL0000564,CUST000097,Vehicle Insurance,22616,4968982,2020-09-04,2022-09-04,Active
POL0000565,CUST000622,Health Insurance,21466,6408560,2025-11-12,2030-11-11,Cancelled
POL0000566,CUST000066,Vehicle Insurance,80692,736722,2022-03-29,2027-03-28,Active
POL0000567,CUST000388,Accident Insurance,44095,6619788,2023-11-02,2028-10-31,Active
POL0000568,CUST000364,Health Insurance,117731,9170733,2019-01-08,2024-01-07,Active
POL0000569,CUST000365,Health Insurance,92669,6887663,2024-07-21,2027-07-21,Active
POL0000570,CUST000555,Accident Insurance,41521,4987939,2022-05-17,2024-05-16,Lapsed
POL0000571,CUST000024,Travel Insurance,79263,2809529,2019-05-10,2021-05-09,Active
POL0000572,CUST000359,Life Insurance,25772,3252888,2021-05-15,2024-05-14,Active
POL0000573,CUST000863,Travel Insurance,29539,5594077,2021-01-10,2026-01-09,Active
POL0000574,CUST000472,Health Insurance,81696,9972754,2019-01-06,2022-01-05,Active
POL0000575,CUST000323,Life Insurance,22452,9795561,2023-08-29,2025-08-28,Active
POL0000576,CUST000421,Travel Insurance,23437,2246537,2020-08-24,2021-08-24,Active
POL0000577,CUST000830,Travel Insurance,77268,2539121,2025-07-17,2028-07-16,Active
POL0000578,CUST000838,Life Insurance,100015,3340401,2020-09-04,2021-09-04,Active
POL0000579,CUST000296,Life Insurance,19778,3261249,2021-11-28,2024-11-27,Expired
POL0000580,CUST000018,Life Insurance,117159,1918153,2022-07-18,2025-07-17,Active
POL0000581,CUST000087,Health Insurance,107179,8845017,2018-03-27,2020-03-26,Active
POL0000582,CUST000177,Health Insurance,110379,3455470,2024-01-16,2026-01-15,Expired
POL0000583,CUST000334,Health Insurance,41926,4159132,2025-01-24,2027-01-24,Active
POL0000584,CUST000692,Travel Insurance,20254,4137220,2019-11-23,2020-11-22,Active
POL0000585,CUST000192,Accident Insurance,114798,8617668,2021-01-02,2024-01-02,Active
POL0000586,CUST000112,Travel Insurance,99145,1293483,2018-03-15,2020-03-14,Expired
POL0000587,CUST000688,Vehicle Insurance,62635,6082020,2018-11-05,2023-11-04,Lapsed
POL0000588,CUST000395,Travel Insurance,92466,9382393,2019-03-09,2021-03-08,Cancelled
POL0000589,CUST000328,Health Insurance,84643,5230238,2023-07-17,2025-07-16,Active
POL0000590,CUST000796,Vehicle Insurance,98979,3584938,2022-01-29,2025-01-28,Active
POL0000591,CUST000121,Vehicle Insurance,113999,8747825,2019-08-16,2020-08-15,Active
POL0000592,CUST000716,Travel Insurance,42040,1065713,2023-09-22,2024-09-21,Active
POL0000593,CUST000143,Accident Insurance,53641,308490,2025-09-21,2026-09-21,Active
POL0000594,CUST000037,Life Insurance,4273,7297953,2024-04-13,2025-04-13,Active
POL0000595,CUST000690,Accident Insurance,95166,935809,2021-03-13,2024-03-12,Active
POL0000596,CUST000312,Vehicle Insurance,73405,2932892,2025-12-06,2027-12-06,Active
POL0000597,CUST000150,Vehicle Insurance,52904,2774006,2021-09-09,2024-09-08,Lapsed
POL0000598,CUST000317,Vehicle Insurance,117932,8626977,2018-04-14,2023-04-13,Expired
POL0000599,CUST000311,Life Insurance,90327,3837335,2023-08-03,2025-08-02,Active
POL0000600,CUST000235,Life Insurance,25539,4726428,2024-10-04,2026-10-04,Active
POL0000601,CUST000191,Accident Insurance,16772,7055907,2018-12-16,2019-12-16,Active
POL0000602,CUST000859,Vehicle Insurance,64583,584156,2025-10-29,2026-10-29,Cancelled
POL0000603,CUST000579,Travel Insurance,76317,5300011,2022-04-12,2024-04-11,Active
POL0000604,CUST000068,Vehicle Insurance,4161,5177183,2024-08-23,2025-08-23,Lapsed
POL0000605,CUST000570,Travel Insurance,53909,5465614,2025-12-20,2027-12-20,Active
POL0000606,CUST000897,Vehicle Insurance,61092,3479055,2020-08-11,2023-08-11,Expired
POL0000607,CUST000982,Accident Insurance,104417,972493,2020-09-05,2021-09-05,Active
POL0000608,CUST000474,Health Insurance,72243,8393517,2021-01-24,2026-01-23,Active
POL0000609,CUST000784,Vehicle Insurance,60531,2633057,2018-11-06,2023-11-05,Active
POL0000610,CUST000236,Life Insurance,42879,3825661,2025-04-27,2026-04-27,Active
POL0000611,CUST000528,Accident Insurance,39161,7095261,2023-03-05,2028-03-03,Active
POL0000612,CUST000246,Travel Insurance,15683,2650958,2025-02-14,2028-02-14,Active
POL0000613,CUST000545,Health Insurance,68421,4273081,2019-02-17,2020-02-17,Active
POL0000614,CUST000899,Travel Insurance,23284,5887792,2019-02-11,2020-02-11,Active
POL0000615,CUST000690,Life Insurance,106048,9937588,2025-10-13,2027-10-13,Active
POL0000616,CUST000589,Vehicle Insurance,113615,8954962,2024-09-27,2029-09-26,Active
POL0000617,CUST000802,Travel Insurance,16793,3070240,2020-05-31,2025-05-30,Active
POL0000618,CUST000109,Vehicle Insurance,119844,3482741,2022-04-01,2025-03-31,Active
POL0000619,CUST000184,Accident Insurance,91198,4265537,2018-09-29,2023-09-28,Active
POL0000620,CUST000364,Accident Insurance,57502,8064720,2022-06-18,2025-06-17,Lapsed
POL0000621,CUST000134,Travel Insurance,21496,6257577,2020-10-09,2025-10-08,Active
POL0000622,CUST000664,Accident Insurance,83464,8327231,2019-09-22,2021-09-21,Active
POL0000623,CUST000825,Vehicle Insurance,96584,9142432,2019-11-02,2022-11-01,Active
POL0000624,CUST000198,Life Insurance,103137,2353446,2023-12-30,2028-12-28,Active
POL0000625,CUST000405,Health Insurance,91131,8175302,2020-02-03,2022-02-02,Active
POL0000626,CUST000357,Health Insurance,44913,2441460,2018-07-28,2020-07-27,Active
